name,speed,accel,weight,handling,traction/grip,mini-turbo,total
Super Glider,0,0,0,0,0,0,0
Cloud Glider,-0.25,0.25,-0.25,0,0,0.25,0
Wario Wing,0,0,0.25,0,-0.25,0,0
Waddle Wing,0,0,0,0,0,0,0
Peach Parasol,-0.25,0.25,-0.25,0,0,0.25,0
Parachute,-0.25,0.25,-0.25,0,0,0.25,0
Parafoil,-0.25,0.25,0,0,-0.25,0.25,0
Flower Glider,-0.25,0.25,-0.25,0,0,0.25,0
Bowser Kite,-0.25,0.25,0,0,-0.25,0.25,0
Plane Glider,0,0,0.25,0,-0.25,0,0
MKTV Parafoil,-0.25,0.25,0,0,-0.25,0.25,0
Gold Glider,0,0,0.25,0,-0.25,0,0
Hylian Kite,0,0,0,0,0,0,0
Paper Glider,-0.25,0.25,-0.25,0,0,0.25,0
